Season,GROUP_VALUE,FGM,FGM_percentile,FGA,FGA_percentile,FG3M,FG3M_percentile,FG3A,FG3A_percentile,BLKA,BLKA_percentile,FG_PCT,FG_PCT_percentile,FG3_PCT,FG3_PCT_percentile,EFG_PCT,EFG_PCT_percentile,PCT_AST_2PM,PCT_AST_2PM_percentile,PCT_UAST_2PM,PCT_UAST_2PM_percentile,PCT_AST_3PM,PCT_AST_3PM_percentile,PCT_UAST_3PM,PCT_UAST_3PM_percentile,PCT_AST_FGM,PCT_AST_FGM_percentile,PCT_UAST_FGM,PCT_UAST_FGM_percentile
2024-25 2H,Unassisted,4.769230769230769,95.83952451708767,4.769230769230769,95.83952451708767,0.8461538461538461,69.53937592867756,0.8461538461538461,69.53937592867756,0.0,50.074294205052006,1.0,50.074294205052006,1.0,62.852897473997025,1.089,43.83358098068351,0.0,25.185735512630014,1.0,75.78008915304606,0.0,27.488855869242197,1.0,85.43833580980683,0.0,24.59138187221397,1.0,75.55720653789004
2024-25 1H,Unassisted,2.5416666666666665,76.43312101910827,2.5416666666666665,76.43312101910827,0.625,65.52547770700636,0.625,65.52547770700636,0.0,50.0796178343949,1.0,50.0796178343949,1.0,61.30573248407643,1.123,49.68152866242038,0.0,25.23885350318471,1.0,75.71656050955414,0.0,26.99044585987261,1.0,84.39490445859872,0.0,24.442675159235666,1.0,75.71656050955414
2023-24,Unassisted,3.430379746835443,84.26150121065375,3.430379746835443,84.26150121065375,0.4430379746835443,59.32203389830509,0.4430379746835443,59.32203389830509,0.0,50.06053268765133,1.0,50.06053268765133,1.0,60.47215496368039,1.065,41.34382566585956,0.0,25.06053268765133,1.0,75.42372881355932,0.0,27.17917675544794,1.0,83.35351089588377,0.0,24.878934624697337,1.0,75.24213075060533
